attack,stime,pkts,dur,mean,stddev,sum,min,max,rate
1,1529284211,31,2.377669,2.377669,0,2.377669,2.377669,2.377669,12.617399
1,1529284212,10,0.000955,0.000955,0,0.000955,0.000955,0.000955,9424.083984
1,1529284207,34,6.127956,1.997054,1.992679,3.994108,0.004375,3.989733,5.385156
1,1529284213,30,1.860028,1.860028,0,1.860028,1.860028,1.860028,15.591163
1,1529284207,34,6.359021,2.107729,2.106623,4.215458,0.001106,4.214352,5.189478
1,1529284213,30,1.856721,1.856721,0,1.856721,1.856721,1.856721,15.618932
1,1529284214,30,1.9377,1.9377,0,1.9377,1.9377,1.9377,14.966197
1,1529284214,6,0.001102,0.001102,0,0.001102,0.001102,0.001102,4537.205078
1,1529284214,31,1.978869,1.978869,0,1.978869,1.978869,1.978869,15.160175
1,1529284214,31,1.979787,1.979787,0,1.979787,1.979787,1.979787,15.153146
1,1529284214,31,1.963136,1.963136,0,1.963136,1.963136,1.963136,15.281672
1,1529284214,31,1.983313,1.983313,0,1.983313,1.983313,1.983313,15.126205
1,1529284214,6,0.001709,0.001709,0,0.001709,0.001709,0.001709,2925.6875
1,1529284214,31,1.961794,1.961794,0,1.961794,1.961794,1.961794,15.292126
1,1529284214,31,1.959604,1.959604,0,1.959604,1.959604,1.959604,15.309216
1,1529284214,31,1.956302,1.956302,0,1.956302,1.956302,1.956302,15.335055
1,1529284214,31,1.9602,1.9602,0,1.9602,1.9602,1.9602,15.304561
1,1529284214,30,1.960886,1.960886,0,1.960886,1.960886,1.960886,14.789233
1,1529284214,31,1.955268,1.955268,0,1.955268,1.955268,1.955268,15.343165
1,1529284214,30,1.95663,1.95663,0,1.95663,1.95663,1.95663,14.821403
0,1529284214,1,0,0,0,0,0,0,0
0,1529284214,1,0,0,0,0,0,0,0
1,1529284214,30,1.847452,1.847452,0,1.847452,1.847452,1.847452,15.697295
1,1529284215,28,2.467889,2.467889,0,2.467889,2.467889,2.467889,10.940524
1,1529284215,29,2.457678,2.457678,0,2.457678,2.457678,2.457678,11.392867
1,1529284215,8,0.001158,0.001158,0,0.001158,0.001158,0.001158,6044.905273
1,1529284216,6,0.000332,0.000332,0,0.000332,0.000332,0.000332,15060.24121
1,1529284216,28,2.523086,2.523086,0,2.523086,2.523086,2.523086,10.70118
1,1529284216,6,0.001258,0.001258,0,0.001258,0.001258,0.001258,3974.562744
1,1529284216,6,0.00211,0.00211,0,0.00211,0.00211,0.00211,2369.668213
1,1529284216,28,2.612467,2.612467,0,2.612467,2.612467,2.612467,10.335058
1,1529284216,28,2.603831,2.603831,0,2.603831,2.603831,2.603831,10.369336
1,1529284216,29,2.611293,2.611293,0,2.611293,2.611293,2.611293,10.722657
1,1529284216,29,2.779475,2.779475,0,2.779475,2.779475,2.779475,10.073845
1,1529284216,6,0.002572,0.002572,0,0.002572,0.002572,0.002572,1944.012451
1,1529284216,6,0.002512,0.002512,0,0.002512,0.002512,0.002512,1990.445801
1,1529284216,29,2.600547,2.600547,0,2.600547,2.600547,2.600547,10.766965
1,1529284216,30,2.622177,2.622177,0,2.622177,2.622177,2.622177,11.059513
1,1529284216,29,2.621137,2.621137,0,2.621137,2.621137,2.621137,10.682387
1,1529284216,30,2.621481,2.621481,0,2.621481,2.621481,2.621481,11.062449
1,1529284216,6,0.0045,0.0045,0,0.0045,0.0045,0.0045,1111.111206
1,1529284216,27,2.608944,2.608944,0,2.608944,2.608944,2.608944,9.965718
1,1529284216,6,0.005675,0.005675,0,0.005675,0.005675,0.005675,881.057251
1,1529284216,6,0.008312,0.008312,0,0.008312,0.008312,0.008312,601.539917
1,1529284216,27,2.579829,2.579829,0,2.579829,2.579829,2.579829,10.078187
1,1529284216,27,2.575216,2.575216,0,2.575216,2.575216,2.575216,10.09624
1,1529284216,28,2.569325,2.569325,0,2.569325,2.569325,2.569325,10.508596
1,1529284216,27,2.516972,2.516972,0,2.516972,2.516972,2.516972,10.329872
1,1529284212,39,10.072398,0.03156,0.03111,0.063119,0.000449,0.06267,3.772686
1,1529284228,68,28.441805,1.475531,0.837133,4.426592,0.736925,2.646104,2.355687
1,1529284254,102000,554.078552,4.61626,0.856792,198.499176,0.509618,4.999951,184.087616
0,1529283903,154524,1252.18335,4.912128,0.495819,982.425598,0.11183,4.999955,123.402855
0,1529283903,211723,1451.931396,4.887452,0.557124,1348.936646,0.124282,4.999977,145.820938
0,1529283903,109100,1451.931396,4.885636,0.55851,1387.52063,0.111865,4.99999,75.140602
0,1529283903,113651,1451.931396,4.888326,0.547914,1446.944458,0.111861,4.999993,78.275047
1,1529283908,18748,796.555359,2.494226,2.068144,271.870667,0.498979,4.998679,23.535088
0,1529283903,68190,1451.902954,4.878074,0.566837,1443.909912,0.0585,4.999984,46.96526
0,1529283903,61091,1451.931519,4.876519,0.570058,1443.449707,0.049774,4.99997,42.074986
0,1529283903,38359,1451.915405,4.878789,0.53337,1439.242798,0.603979,4.999936,26.418894
0,1529283904,2478,1447.922485,3.812114,0.969525,1120.761353,0,4.999966,1.710727
1,1529284271,148354,1031.610107,4.295446,1.3706,373.703827,0.000156,4.999312,143.807236
1,1529284262,29924,1093.182129,4.318206,1.311347,410.229553,0.051552,4.999969,27.372383
0,1529284262,72778,1093.176392,4.839635,0.639072,464.60495,0.987489,4.999962,66.573883
0,1529284492,2,6.6E-05,6.6E-05,0,6.6E-05,6.6E-05,6.6E-05,15151.51465
0,1529284492,2,0.000446,0.000446,0,0.000446,0.000446,0.000446,2242.152588
0,1529284587,2,5.2E-05,5.2E-05,0,5.2E-05,5.2E-05,5.2E-05,19230.76953
0,1529284744,2,0.288762,0.288762,0,0.288762,0.288762,0.288762,3.463059
0,1529284744,2,0.049022,0.049022,0,0.049022,0.049022,0.049022,20.399004
0,1529284744,2,0.000154,0.000154,0,0.000154,0.000154,0.000154,6493.506836
0,1529284744,2,2.4E-05,2.4E-05,0,2.4E-05,2.4E-05,2.4E-05,41666.66406
0,1529284749,2,0.000295,0.000295,0,0.000295,0.000295,0.000295,3389.830566
0,1529284749,2,0.000112,0.000112,0,0.000112,0.000112,0.000112,8928.571289
0,1529284808,15579,98.310432,4.904157,0.391697,98.083145,3.196841,4.999384,158.457245
1,1529285007,12,300.449127,0.000115,5.7E-05,0.00069,2.9E-05,0.000185,0.036612
1,1529285007,12,300.29007,3.4E-05,2.5E-05,0.000204,3E-06,6.8E-05,0.036631
